!      x       |      y       |      z       |     vpx      |     vpy      |      vpz     |  t0 (timestep)                    
  0.670309E+01   0.158567E+00   0.225762E+00   0.211260E+02   0.675636E+00  -0.302272E-01   0.883608E+01
  0.292482E+01   0.669831E-01   0.401750E+00   0.118596E+02  -0.272430E+00  -0.389329E+00   0.157072E+02
  0.166824E+01   0.108416E+00   0.726466E-01   0.170009E+02   0.353060E+00   0.903446E+00   0.200195E+02
  0.179127E+01   0.583724E-01   0.272593E+01   0.121498E+02   0.380970E+00   0.192839E+00   0.193562E-14
  0.628821E+01   0.130812E+00   0.256741E+01   0.277130E+02  -0.761274E+00  -0.313068E+00   0.220022E+02
  0.812847E+01   0.229603E+00   0.290623E+01   0.317373E+02   0.495740E-01   0.741419E-02   0.184821E+02
  0.434079E+01   0.787007E-01   0.313112E+01   0.142801E+02   0.375510E+00  -0.287994E+00   0.375891E+01
  0.671388E+01   0.767247E+00   0.571446E+00   0.286504E+02   0.112116E+01   0.131416E+01   0.196640E-14
  0.121206E+02   0.309464E+00   0.904919E-01   0.280428E+02  -0.219843E+01   0.142813E-01   0.278881E+02
  0.112726E+02   0.533636E+00   0.256889E+01   0.311904E+02   0.252245E+01   0.519973E+00   0.555160E+02
  0.282697E+01   0.896540E+00   0.615756E+00   0.340661E+02   0.115886E+01  -0.640640E+00   0.129336E+01
  0.149189E+01   0.232478E+00   0.398907E+00   0.272148E+02  -0.127759E+01   0.904677E+00   0.389864E+02
  0.851718E+01   0.442703E+00   0.926967E+00   0.239545E+02   0.335991E+01  -0.102996E+01   0.125118E+02
  0.287118E+01   0.653805E+00   0.515650E+00   0.331811E+02   0.427708E+00  -0.293306E+00   0.376587E+01
  0.170333E+00   0.222844E-01   0.298397E+01   0.615687E+01   0.217518E-01  -0.349968E-01   0.162299E+02
  0.775130E+01   0.908980E-01   0.241286E+01   0.176978E+02   0.932925E+00   0.114719E+01   0.230977E+02
  0.189415E+01   0.820444E+00   0.259941E+01   0.313639E+02   0.316170E+01   0.199389E+01   0.226484E+02
  0.121141E+02   0.480345E+00   0.544815E+00   0.295350E+02  -0.152220E+00  -0.107924E+00   0.432458E+02
